Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layx
FC1 X	-1.101703e-03	9.102006e-02	1.810008e-02	8.310626e-04	2.760358e-01	-9.611470e-01	5.815204e-01	1
FC1 Y	-1.101703e-03	9.102006e-02	1.810008e-02	-9.999997e-01	2.294031e-04	-7.987736e-04	5.815204e-01	1
FC1 Z	-1.101703e-03	9.102006e-02	1.810008e-02	0	-9.611473e-01	-2.760359e-01	5.815204e-01	1
FC2 X	1.049972e-03	5.817928e-02	5.894964e-02	2.658719e-03	-8.554174e-01	5.179325e-01	5.792449e-01	8.803279e-01
FC2 Y	1.049972e-03	5.817928e-02	5.894964e-02	9.999960e-01	1.777772e-03	-2.197144e-03	5.792449e-01	8.803279e-01
FC2 Z	1.049972e-03	5.817928e-02	5.894964e-02	-9.587093e-04	-5.179363e-01	-8.554187e-01	5.792449e-01	8.803279e-01
FL1 X	-3.878215e-02	7.995335e-02	8.675925e-03	8.243770e-01	5.544686e-01	-1.138735e-01	3.653489e-01	9.332598e-01
FL1 Y	-3.878215e-02	7.995335e-02	8.675925e-03	-1.609766e-01	3.678308e-02	-9.862726e-01	3.653489e-01	9.332598e-01
FL1 Z	-3.878215e-02	7.995335e-02	8.675925e-03	5.426685e-01	-8.313914e-01	-1.195796e-01	3.653489e-01	9.332598e-01
FL2 X	-1.798909e-02	7.679200e-02	3.893800e-02	-6.415623e-01	-6.102995e-01	4.646851e-01	4.831261e-01	9.247795e-01
FL2 Y	-1.798909e-02	7.679200e-02	3.893800e-02	7.150716e-01	-2.565934e-01	6.502557e-01	4.831261e-01	9.247795e-01
FL2 Z	-1.798909e-02	7.679200e-02	3.893800e-02	2.776156e-01	-7.494627e-01	-6.010285e-01	4.831261e-01	9.247795e-01
FL3 X	-4.946524e-02	5.287554e-02	4.213768e-02	7.523299e-01	5.935788e-01	2.857691e-01	3.682652e-01	7.862715e-01
FL3 Y	-4.946524e-02	5.287554e-02	4.213768e-02	-2.323950e-01	6.450190e-01	-7.279719e-01	3.682652e-01	7.862715e-01
FL3 Z	-4.946524e-02	5.287554e-02	4.213768e-02	6.164352e-01	-4.812637e-01	-6.232118e-01	3.682652e-01	7.862715e-01
FL4 X	-1.441450e-02	3.272532e-02	6.968760e-02	-7.366147e-01	-6.719047e-01	7.708918e-02	4.853349e-01	8.197815e-01
FL4 Y	-1.441450e-02	3.272532e-02	6.968760e-02	6.501671e-01	-6.721360e-01	3.542822e-01	4.853349e-01	8.197815e-01
FL4 Z	-1.441450e-02	3.272532e-02	6.968760e-02	1.862295e-01	-3.110904e-01	-9.319557e-01	4.853349e-01	8.197815e-01
FR1 X	3.540220e-02	8.222667e-02	8.209044e-03	8.243770e-01	-5.544686e-01	1.138735e-01	7.989935e-01	9.381835e-01
FR1 Y	3.540220e-02	8.222667e-02	8.209044e-03	1.609766e-01	3.678308e-02	-9.862726e-01	7.989935e-01	9.381835e-01
