Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FL1 X	-0.03424	0.085497	0.0064797	0.79332	0.54667	-0.26797	-0.11636	0.41511
FL1 Y	-0.03424	0.085497	0.0064797	-0.37466	0.091443	-0.92264	-0.11636	0.41511
FL1 Z	-0.03424	0.085497	0.0064797	0.47988	-0.83234	-0.27736	-0.11636	0.41511
FL2 X	-0.05775	0.066194	-0.011913	0.52891	0.84795	0.035108	-0.23364	0.39186
FL2 Y	-0.05775	0.066194	-0.011913	-0.072158	0.086151	-0.99367	-0.23364	0.39186
FL2 Z	-0.05775	0.066194	-0.011913	0.8456	-0.52303	-0.10675	-0.23364	0.39186
FL3 X	-0.02017	0.077054	0.04064	-0.36611	-0.62348	0.69083	-0.058871	0.32775
FL3 Y	-0.02017	0.077054	0.04064	0.89998	-0.048443	0.43323	-0.058871	0.32775
FL3 Z	-0.02017	0.077054	0.04064	0.23664	-0.78034	-0.57885	-0.058871	0.32775
FL4 X	-0.05026	0.065101	0.025318	-0.63051	-0.77481	0.046149	-0.16081	0.31335
FL4 Y	-0.05026	0.065101	0.025318	0.2364	-0.13506	0.96222	-0.16081	0.31335
FL4 Z	-0.05026	0.065101	0.025318	0.73931	-0.6176	-0.26832	-0.16081	0.31335
FL5 X	-0.066379	0.044077	0.0045823	-0.3701	-0.92552	-0.080204	-0.26454	0.27284
FL5 Y	-0.066379	0.044077	0.0045823	0.081343	-0.11829	0.98964	-0.26454	0.27284
FL5 Z	-0.066379	0.044077	0.0045823	0.92542	-0.35974	-0.11906	-0.26454	0.27284
FL6 X	-0.071779	0.034876	-0.02638	0.28004	0.95758	0.068035	-0.36203	0.27254
FL6 Y	-0.071779	0.034876	-0.02638	-0.0021554	0.071498	-0.99744	-0.36203	0.27254
FL6 Z	-0.071779	0.034876	-0.02638	0.95999	-0.27917	-0.022086	-0.36203	0.27254
FL7 X	-0.03699	0.050262	0.054463	0.29304	0.89952	-0.32403	-0.10654	0.23208
FL7 Y	-0.03699	0.050262	0.054463	-0.82553	0.067077	-0.56036	-0.10654	0.23208
FL7 Z	-0.03699	0.050262	0.054463	0.48232	-0.4317	-0.76223	-0.10654	0.23208
FL8 X	-0.06299	0.033077	0.034532	0.30977	0.95077	-0.0084	-0.20794	0.18789
FL8 Y	-0.06299	0.033077	0.034532	-0.40403	0.12363	-0.90635	-0.20794	0.18789
FL8 Z	-0.06299	0.033077	0.034532	0.8607	-0.28416	-0.42244	-0.20794	0.18789
PL1 X	-0.018394	0.029433	0.071484	0.11085	0.96209	-0.2492	-0.050252	0.15137
PL1 Y	-0.018394	0.029433	0.071484	-0.96003	0.038812	-0.27719	-0.050252	0.15137
PL1 Z	-0.018394	0.029433	0.071484	0.257	-0.26997	-0.92794	-0.050252	0.15137
PL2 X	-0.049358	0.016678	0.059181	-0.19094	-0.97684	0.096607	-0.14477	0.11012
PL2 Y	-0.049358	0.016678	0.059181	0.75841	-0.084324	0.6463	-0.14477	0.11012
PL2 Z	-0.049358	0.016678	0.059181	0.62318	-0.19667	-0.75694	-0.14477	0.11012
PL3 X	-0.071117	0.00035077	0.033083	0.12948	0.98851	0.077932	-0.24002	0.049245
PL3 Y	-0.071117	0.00035077	0.033083	-0.39842	0.12384	-0.9088	-0.24002	0.049245
PL3 Z	-0.071117	0.00035077	0.033083	0.90802	-0.086623	-0.40988	-0.24002	0.049245
PL4 X	-0.028823	-0.0053252	0.074438	0.068963	0.99478	-0.075181	-0.078542	0.028942
PL4 Y	-0.028823	-0.0053252	0.074438	-0.94161	0.040009	-0.33433	-0.078542	0.028942
PL4 Z	-0.028823	-0.0053252	0.074438	0.32958	-0.093848	-0.93945	-0.078542	0.028942
PL5 X	-0.055944	-0.017264	0.057756	-0.064036	-0.99422	-0.086132	-0.15902	-0.014766
PL5 Y	-0.055944	-0.017264	0.057756	0.68382	-0.10658	0.72183	-0.15902	-0.014766
PL5 Z	-0.055944	-0.017264	0.057756	0.72684	0.012675	-0.68669	-0.15902	-0.014766
PL6 X	-0.070636	-0.033318	0.027889	-0.14196	0.97055	0.19462	-0.23249	-0.090419
PL6 Y	-0.070636	-0.033318	0.027889	-0.33052	0.13885	-0.93353	-0.23249	-0.090419
PL6 Z	-0.070636	-0.033318	0.027889	0.93306	0.19685	-0.30107	-0.23249	-0.090419
PL7 X	-0.030723	-0.04069	0.071535	-0.049283	0.96877	0.24301	-0.079577	-0.082346
PL7 Y	-0.030723	-0.04069	0.071535	-0.94718	0.031867	-0.31913	-0.079577	-0.082346
PL7 Z	-0.030723	-0.04069	0.071535	0.31691	0.2459	-0.91603	-0.079577	-0.082346
PL8 X	-0.054349	-0.048902	0.050483	0.24316	-0.90522	-0.34851	-0.14968	-0.12006
PL8 Y	-0.054349	-0.048902	0.050483	0.64068	-0.11988	0.75839	-0.14968	-0.12006
PL8 Z	-0.054349	-0.048902	0.050483	0.72829	0.40769	-0.5508	-0.14968	-0.12006
OL1 X	-0.029638	-0.069533	0.05195	-0.26908	0.66646	0.69529	-0.080878	-0.18095
OL1 Y	-0.029638	-0.069533	0.05195	-0.91599	0.045977	-0.39856	-0.080878	-0.18095
OL1 Z	-0.029638	-0.069533	0.05195	0.29759	0.74412	-0.5981	-0.080878	-0.18095
OL2 X	-0.056635	-0.065316	0.024082	0.51159	-0.78306	-0.35368	-0.17739	-0.20651
OL2 Y	-0.056635	-0.065316	0.024082	0.41791	-0.13288	0.89872	-0.17739	-0.20651
OL2 Z	-0.056635	-0.065316	0.024082	0.75075	0.60758	-0.25927	-0.17739	-0.20651
OL3 X	-0.030523	-0.084239	0.023203	-0.52052	0.45498	0.72253	-0.095127	-0.27162
OL3 Y	-0.030523	-0.084239	0.023203	-0.78661	0.073633	-0.61305	-0.095127	-0.27162
OL3 Z	-0.030523	-0.084239	0.023203	0.33213	0.88745	-0.31956	-0.095127	-0.27162
OL4 X	-0.049662	-0.078117	-0.0072711	0.73228	-0.66192	-0.16007	-0.1841	-0.31343
OL4 Y	-0.049662	-0.078117	-0.0072711	0.10227	-0.12549	0.98681	-0.1841	-0.31343
OL4 Z	-0.049662	-0.078117	-0.0072711	0.67328	0.739	0.0242	-0.1841	-0.31343
OL5 X	-0.059522	-0.062205	-0.036204	-0.53292	0.84567	0.028841	-0.28527	-0.32799
OL5 Y	-0.059522	-0.062205	-0.036204	0.063452	0.073928	-0.99524	-0.28527	-0.32799
OL5 Z	-0.059522	-0.062205	-0.036204	0.84378	0.52856	0.093058	-0.28527	-0.32799
OL6 X	-0.019231	-0.092845	-0.0079028	0.88515	-0.16907	-0.4335	-0.071226	-0.36982
OL6 Y	-0.019231	-0.092845	-0.0079028	0.42043	-0.10853	0.90081	-0.071226	-0.36982
OL6 Z	-0.019231	-0.092845	-0.0079028	0.19935	0.97961	0.024984	-0.071226	-0.36982
OL7 X	-0.034342	-0.08455	-0.037807	0.88592	-0.45821	0.072006	-0.15547	-0.42571
OL7 Y	-0.034342	-0.08455	-0.037807	-0.11901	-0.074517	0.99009	-0.15547	-0.42571
OL7 Z	-0.034342	-0.08455	-0.037807	0.4483	0.88571	0.12055	-0.15547	-0.42571
TL1 X	-0.075507	0.015258	0.0023687	-0.20962	-0.97104	-0.11466	-0.32003	0.12885
TL1 Y	-0.075507	0.015258	0.0023687	0.040281	-0.12575	0.99124	-0.32003	0.12885
TL1 Z	-0.075507	0.015258	0.0023687	0.97695	-0.20316	-0.065473	-0.32003	0.12885
TL2 X	-0.078236	0.00016476	-0.029215	0.052009	0.99594	0.073484	-0.41354	0.04894
TL2 Y	-0.078236	0.00016476	-0.029215	0.0116	0.072976	-0.99727	-0.41354	0.04894
TL2 Z	-0.078236	0.00016476	-0.029215	0.99858	-0.052719	0.007757	-0.41354	0.04894
TL3 X	-0.077756	-0.01785	-0.00045927	0.087161	-0.98746	-0.1316	-0.32484	-0.045696
TL3 Y	-0.077756	-0.01785	-0.00045927	0.039648	-0.12856	0.99091	-0.32484	-0.045696
TL3 Z	-0.077756	-0.01785	-0.00045927	0.9954	0.091586	-0.027946	-0.32484	-0.045696
TL4 X	-0.073658	-0.033097	-0.034045	-0.31549	0.94754	0.051359	-0.38296	-0.16508
TL4 Y	-0.073658	-0.033097	-0.034045	0.068565	0.076744	-0.99469	-0.38296	-0.16508
TL4 Z	-0.073658	-0.033097	-0.034045	0.94645	0.31029	0.08918	-0.38296	-0.16508
TL5 X	-0.069191	-0.050122	-0.0050265	-0.41225	0.90174	0.13006	-0.27649	-0.2027
TL5 Y	-0.069191	-0.050122	-0.0050265	-0.027201	0.13051	-0.99107	-0.27649	-0.2027
TL5 Z	-0.069191	-0.050122	-0.0050265	0.91067	0.41211	0.029275	-0.27649	-0.2027
FR1 X	0.034182	0.085247	0.0063812	0.79161	-0.55635	0.25265	0.11625	0.41538
FR1 Y	0.034182	0.085247	0.0063812	0.36135	0.092818	-0.9278	0.11625	0.41538
FR1 Z	0.034182	0.085247	0.0063812	-0.49273	-0.82575	-0.27451	0.11625	0.41538
FR2 X	0.057493	0.066026	-0.01197	0.5295	-0.84759	-0.035039	0.23351	0.39239
FR2 Y	0.057493	0.066026	-0.01197	0.072092	0.086115	-0.99367	0.23351	0.39239
FR2 Z	0.057493	0.066026	-0.01197	-0.84524	-0.52362	-0.1067	0.23351	0.39239
FR3 X	0.020183	0.076961	0.040611	-0.37256	0.62686	-0.68429	0.058861	0.32774
FR3 Y	0.020183	0.076961	0.040611	-0.89573	-0.050126	0.44176	0.058861	0.32774
FR3 Z	0.020183	0.076961	0.040611	-0.24262	-0.77752	-0.58017	0.058861	0.32774
FR4 X	0.049992	0.06493	0.025205	-0.63432	0.77181	-0.044231	0.16055	0.31358
FR4 Y	0.049992	0.06493	0.025205	-0.23212	-0.13558	0.96319	0.16055	0.31358
FR4 Z	0.049992	0.06493	0.025205	-0.7374	-0.62124	-0.26515	0.16055	0.31358
FR5 X	0.066061	0.04395	0.0045203	-0.36859	0.92618	0.079602	0.26445	0.27332
FR5 Y	0.066061	0.04395	0.0045203	-0.082892	-0.11804	0.98954	0.26445	0.27332
FR5 Z	0.066061	0.04395	0.0045203	-0.92589	-0.35813	-0.12028	0.26445	0.27332
FR6 X	0.07144	0.034774	-0.02642	0.27634	-0.95864	-0.068094	0.36219	0.27327
FR6 Y	0.07144	0.034774	-0.02642	0.002073	0.071447	-0.99744	0.36219	0.27327
FR6 Z	0.07144	0.034774	-0.02642	-0.96106	-0.27549	-0.021731	0.36219	0.27327
FR7 X	0.036922	0.050166	0.054293	0.29547	-0.90027	0.31971	0.10652	0.23225
FR7 Y	0.036922	0.050166	0.054293	0.82149	0.06858	-0.56608	0.10652	0.23225
FR7 Z	0.036922	0.050166	0.054293	-0.4877	-0.4299	-0.75982	0.10652	0.23225
FR8 X	0.062681	0.032966	0.034378	0.30988	-0.95075	0.006817	0.20779	0.18807
FR8 Y	0.062681	0.032966	0.034378	0.4011	0.12423	-0.90757	0.20779	0.18807
FR8 Z	0.062681	0.032966	0.034378	-0.86203	-0.28398	-0.41984	0.20779	0.18807
PR1 X	0.018392	0.029394	0.071381	0.11356	-0.96216	0.2477	0.050226	0.15139
PR1 Y	0.018392	0.029394	0.071381	0.95833	0.04031	-0.28279	0.050226	0.15139
PR1 Z	0.018392	0.029394	0.071381	-0.2621	-0.2695	-0.92665	0.050226	0.15139
PR2 X	0.049207	0.01662	0.058971	-0.19236	0.97677	-0.094401	0.14473	0.11011
PR2 Y	0.049207	0.01662	0.058971	-0.75454	-0.085711	0.65063	0.14473	0.11011
PR2 Z	0.049207	0.01662	0.058971	-0.62743	-0.19638	-0.7535	0.14473	0.11011
PR3 X	0.070753	0.00032171	0.032919	0.13039	-0.98829	-0.079217	0.23992	0.049085
PR3 Y	0.070753	0.00032171	0.032919	0.39363	0.12493	-0.91074	0.23992	0.049085
PR3 Z	0.070753	0.00032171	0.032919	-0.90997	-0.087571	-0.40531	0.23992	0.049085
PR4 X	0.028804	-0.0053394	0.074302	0.071099	-0.99465	0.074902	0.078539	0.028839
PR4 Y	0.028804	-0.0053394	0.074302	0.93965	0.041593	-0.33961	0.078539	0.028839
PR4 Z	0.028804	-0.0053394	0.074302	-0.33468	-0.094527	-0.93758	0.078539	0.028839
PR5 X	0.055743	-0.017258	0.057529	-0.064127	0.99408	0.087668	0.15895	-0.014986
PR5 Y	0.055743	-0.017258	0.057529	-0.68017	-0.10782	0.72508	0.15895	-0.014986
PR5 Z	0.055743	-0.017258	0.057529	-0.73025	0.013131	-0.68306	0.15895	-0.014986
