name	Px	Py	Pz	Ox	Oy	Oz	Units
FL1(X)	-3.423950e-02	8.549719e-02	6.479703e-03	7.933151e-01	5.466680e-01	-2.679650e-01	m
FL1(Y)	-3.423950e-02	8.549719e-02	6.479703e-03	-3.746617e-01	9.144338e-02	-9.226412e-01	m
FL1(Z)	-3.423950e-02	8.549719e-02	6.479703e-03	4.798751e-01	-8.323412e-01	-2.773591e-01	m
FL2(X)	-5.774961e-02	6.619425e-02	-1.191295e-02	5.289147e-01	8.479485e-01	3.510798e-02	m
FL2(Y)	-5.774961e-02	6.619425e-02	-1.191295e-02	-7.215847e-02	8.615059e-02	-9.936656e-01	m
FL2(Z)	-5.774961e-02	6.619425e-02	-1.191295e-02	8.456018e-01	-5.230309e-01	-1.067530e-01	m
FL3(X)	-2.017005e-02	7.705373e-02	4.064049e-02	-3.661079e-01	-6.234779e-01	6.908258e-01	m
FL3(Y)	-2.017005e-02	7.705373e-02	4.064049e-02	8.999803e-01	-4.844287e-02	4.332306e-01	m
FL3(Z)	-2.017005e-02	7.705373e-02	4.064049e-02	2.366440e-01	-7.803389e-01	-5.788530e-01	m
FL4(X)	-5.025999e-02	6.510096e-02	2.531819e-02	-6.305067e-01	-7.748107e-01	4.614898e-02	m
FL4(Y)	-5.025999e-02	6.510096e-02	2.531819e-02	2.364018e-01	-1.350618e-01	9.622227e-01	m
FL4(Z)	-5.025999e-02	6.510096e-02	2.531819e-02	7.393070e-01	-6.175980e-01	-2.683240e-01	m
FL5(X)	-6.637908e-02	4.407668e-02	4.582289e-03	-3.701022e-01	-9.255224e-01	-8.020403e-02	m
FL5(Y)	-6.637908e-02	4.407668e-02	4.582289e-03	8.134338e-02	-1.182885e-01	9.896419e-01	m
FL5(Z)	-6.637908e-02	4.407668e-02	4.582289e-03	9.254228e-01	-3.597449e-01	-1.190640e-01	m
FL6(X)	-7.177873e-02	3.487560e-02	-2.638044e-02	2.800380e-01	9.575750e-01	6.803500e-02	m
FL6(Y)	-7.177873e-02	3.487560e-02	-2.638044e-02	-2.155399e-03	7.149760e-02	-9.974384e-01	m
FL6(Z)	-7.177873e-02	3.487560e-02	-2.638044e-02	9.599865e-01	-2.791741e-01	-2.208601e-02	m
FL7(X)	-3.698952e-02	5.026249e-02	5.446333e-02	2.930379e-01	8.995177e-01	-3.240319e-01	m
FL7(Y)	-3.698952e-02	5.026249e-02	5.446333e-02	-8.255290e-01	6.707702e-02	-5.603594e-01	m
FL7(Z)	-3.698952e-02	5.026249e-02	5.446333e-02	4.823179e-01	-4.317049e-01	-7.622338e-01	m
FL8(X)	-6.299040e-02	3.307698e-02	3.453190e-02	3.097749e-01	9.507728e-01	-8.399998e-03	m
FL8(Y)	-6.299040e-02	3.307698e-02	3.453190e-02	-4.040323e-01	1.236318e-01	-9.063515e-01	m
FL8(Z)	-6.299040e-02	3.307698e-02	3.453190e-02	8.606959e-01	-2.841590e-01	-4.224409e-01	m
PL1(X)	-1.839444e-02	2.943321e-02	7.148371e-02	1.108461e-01	9.620865e-01	-2.492041e-01	m
PL1(Y)	-1.839444e-02	2.943321e-02	7.148371e-02	-9.600323e-01	3.881160e-02	-2.771851e-01	m
PL1(Z)	-1.839444e-02	2.943321e-02	7.148371e-02	2.570041e-01	-2.699691e-01	-9.279362e-01	m
PL2(X)	-4.935785e-02	1.667806e-02	5.918073e-02	-1.909360e-01	-9.768370e-01	9.660700e-02	m
PL2(Y)	-4.935785e-02	1.667806e-02	5.918073e-02	7.584096e-01	-8.432374e-02	6.463005e-01	m
PL2(Z)	-4.935785e-02	1.667806e-02	5.918073e-02	6.231841e-01	-1.966690e-01	-7.569431e-01	m
PL3(X)	-7.111663e-02	3.507708e-04	3.308284e-02	1.294810e-01	9.885147e-01	7.793198e-02	m
PL3(Y)	-7.111663e-02	3.507708e-04	3.308284e-02	-3.984225e-01	1.238353e-01	-9.088038e-01	m
PL3(Z)	-7.111663e-02	3.507708e-04	3.308284e-02	9.080166e-01	-8.662296e-02	-4.098808e-01	m
PL4(X)	-2.882283e-02	-5.325209e-03	7.443757e-02	6.896302e-02	9.947823e-01	-7.518103e-02	m
PL4(Y)	-2.882283e-02	-5.325209e-03	7.443757e-02	-9.416064e-01	4.000949e-02	-3.343302e-01	m
PL4(Z)	-2.882283e-02	-5.325209e-03	7.443757e-02	3.295778e-01	-9.384795e-02	-9.394525e-01	m
PL5(X)	-5.594366e-02	-1.726379e-02	5.775621e-02	-6.403598e-02	-9.942237e-01	-8.613197e-02	m
PL5(Y)	-5.594366e-02	-1.726379e-02	5.775621e-02	6.838151e-01	-1.065770e-01	7.218298e-01	m
PL5(Z)	-5.594366e-02	-1.726379e-02	5.775621e-02	7.268399e-01	1.267500e-02	-6.866899e-01	m
PL6(X)	-7.063557e-02	-3.331820e-02	2.788942e-02	-1.419570e-01	9.705520e-01	1.946200e-01	m
PL6(Y)	-7.063557e-02	-3.331820e-02	2.788942e-02	-3.305172e-01	1.388533e-01	-9.335299e-01	m
PL6(Z)	-7.063557e-02	-3.331820e-02	2.788942e-02	9.330631e-01	1.968460e-01	-3.010730e-01	m
PL7(X)	-3.072254e-02	-4.069021e-02	7.153504e-02	-4.928300e-02	9.687710e-01	2.430100e-01	m
PL7(Y)	-3.072254e-02	-4.069021e-02	7.153504e-02	-9.471754e-01	3.186705e-02	-3.191289e-01	m
PL7(Z)	-3.072254e-02	-4.069021e-02	7.153504e-02	3.169069e-01	2.458999e-01	-9.160258e-01	m
PL8(X)	-5.434915e-02	-4.890195e-02	5.048327e-02	2.431591e-01	-9.052163e-01	-3.485071e-01	m
PL8(Y)	-5.434915e-02	-4.890195e-02	5.048327e-02	6.406808e-01	-1.198800e-01	7.583910e-01	m
PL8(Z)	-5.434915e-02	-4.890195e-02	5.048327e-02	7.282870e-01	4.076910e-01	-5.508050e-01	m
OL1(X)	-2.963826e-02	-6.953255e-02	5.194954e-02	-2.690780e-01	6.664630e-01	6.952870e-01	m
OL1(Y)	-2.963826e-02	-6.953255e-02	5.194954e-02	-9.159887e-01	4.597674e-02	-3.985609e-01	m
OL1(Z)	-2.963826e-02	-6.953255e-02	5.194954e-02	2.975931e-01	7.441192e-01	-5.981012e-01	m
OL2(X)	-5.663452e-02	-6.531567e-02	2.408213e-02	5.115900e-01	-7.830630e-01	-3.536780e-01	m
OL2(Y)	-5.663452e-02	-6.531567e-02	2.408213e-02	4.179111e-01	-1.328849e-01	8.987168e-01	m
OL2(Z)	-5.663452e-02	-6.531567e-02	2.408213e-02	7.507504e-01	6.075803e-01	-2.592681e-01	m
OL3(X)	-3.052318e-02	-8.423894e-02	2.320272e-02	-5.205221e-01	4.549801e-01	7.225302e-01	m
OL3(Y)	-3.052318e-02	-8.423894e-02	2.320272e-02	-7.866052e-01	7.363341e-02	-6.130500e-01	m
OL3(Z)	-3.052318e-02	-8.423894e-02	2.320272e-02	3.321280e-01	8.874520e-01	-3.195620e-01	m
OL4(X)	-4.966227e-02	-7.811719e-02	-7.271132e-03	7.322841e-01	-6.619191e-01	-1.600720e-01	m
OL4(Y)	-4.966227e-02	-7.811719e-02	-7.271132e-03	1.022740e-01	-1.254939e-01	9.868086e-01	m
OL4(Z)	-4.966227e-02	-7.811719e-02	-7.271132e-03	6.732761e-01	7.389951e-01	2.420000e-02	m
OL5(X)	-5.952166e-02	-6.220491e-02	-3.620406e-02	-5.329230e-01	8.456721e-01	2.884100e-02	m
OL5(Y)	-5.952166e-02	-6.220491e-02	-3.620406e-02	6.345242e-02	7.392825e-02	-9.952429e-01	m
OL5(Z)	-5.952166e-02	-6.220491e-02	-3.620406e-02	8.437811e-01	5.285581e-01	9.305801e-02	m
OL6(X)	-1.923112e-02	-9.284540e-02	-7.902807e-03	8.851527e-01	-1.690739e-01	-4.334959e-01	m
OL6(Y)	-1.923112e-02	-9.284540e-02	-7.902807e-03	4.204325e-01	-1.085330e-01	9.008092e-01	m
OL6(Z)	-1.923112e-02	-9.284540e-02	-7.902807e-03	1.993521e-01	9.796094e-01	2.498401e-02	m
OL7(X)	-3.434222e-02	-8.454981e-02	-3.780715e-02	8.859226e-01	-4.582098e-01	7.200597e-02	m
OL7(Y)	-3.434222e-02	-8.454981e-02	-3.780715e-02	-1.190139e-01	-7.451731e-02	9.900923e-01	m
OL7(Z)	-3.434222e-02	-8.454981e-02	-3.780715e-02	4.483048e-01	8.857147e-01	1.205500e-01	m
TL1(X)	-7.550685e-02	1.525795e-02	2.368716e-03	-2.096151e-01	-9.710374e-01	-1.146640e-01	m
TL1(Y)	-7.550685e-02	1.525795e-02	2.368716e-03	4.028147e-02	-1.257456e-01	9.912444e-01	m
TL1(Z)	-7.550685e-02	1.525795e-02	2.368716e-03	9.769539e-01	-2.031610e-01	-6.547299e-02	m
TL2(X)	-7.823588e-02	1.647551e-04	-2.921479e-02	5.200902e-02	9.959393e-01	7.348402e-02	m
TL2(Y)	-7.823588e-02	1.647551e-04	-2.921479e-02	1.159951e-02	7.297619e-02	-9.972662e-01	m
TL2(Z)	-7.823588e-02	1.647551e-04	-2.921479e-02	9.985793e-01	-5.271901e-02	7.757002e-03	m
TL3(X)	-7.775595e-02	-1.785003e-02	-4.592690e-04	8.716097e-02	-9.874636e-01	-1.316000e-01	m
TL3(Y)	-7.775595e-02	-1.785003e-02	-4.592690e-04	3.964837e-02	-1.285594e-01	9.909089e-01	m
TL3(Z)	-7.775595e-02	-1.785003e-02	-4.592690e-04	9.954050e-01	9.158600e-02	-2.794600e-02	m
TL4(X)	-7.365823e-02	-3.309672e-02	-3.404512e-02	-3.154870e-01	9.475390e-01	5.135900e-02	m
TL4(Y)	-7.365823e-02	-3.309672e-02	-3.404512e-02	6.856532e-02	7.674383e-02	-9.946905e-01	m
TL4(Z)	-7.365823e-02	-3.309672e-02	-3.404512e-02	9.464493e-01	3.102911e-01	8.918003e-02	m
TL5(X)	-6.919062e-02	-5.012248e-02	-5.026530e-03	-4.122481e-01	9.017402e-01	1.300620e-01	m
TL5(Y)	-6.919062e-02	-5.012248e-02	-5.026530e-03	-2.720089e-02	1.305116e-01	-9.910736e-01	m
TL5(Z)	-6.919062e-02	-5.012248e-02	-5.026530e-03	9.106656e-01	4.121058e-01	2.927499e-02	m
FR1(X)	3.418226e-02	8.524712e-02	6.381198e-03	7.916089e-01	-5.563500e-01	2.526460e-01	m
FR1(Y)	3.418226e-02	8.524712e-02	6.381198e-03	3.613455e-01	9.281780e-02	-9.278008e-01	m
FR1(Z)	3.418226e-02	8.524712e-02	6.381198e-03	-4.927319e-01	-8.257479e-01	-2.745100e-01	m
FR2(X)	5.749291e-02	6.602620e-02	-1.196986e-02	5.295000e-01	-8.475860e-01	-3.503900e-02	m
FR2(Y)	5.749291e-02	6.602620e-02	-1.196986e-02	7.209180e-02	8.611507e-02	-9.936735e-01	m
FR2(Z)	5.749291e-02	6.602620e-02	-1.196986e-02	-8.452407e-01	-5.236248e-01	-1.067020e-01	m
FR3(X)	2.018316e-02	7.696070e-02	4.061137e-02	-3.725561e-01	6.268552e-01	-6.842912e-01	m
FR3(Y)	2.018316e-02	7.696070e-02	4.061137e-02	-8.957340e-01	-5.012588e-02	4.417556e-01	m
FR3(Z)	2.018316e-02	7.696070e-02	4.061137e-02	-2.426160e-01	-7.775219e-01	-5.801699e-01	m
FR4(X)	4.999161e-02	6.492951e-02	2.520518e-02	-6.343168e-01	7.718068e-01	-4.423099e-02	m
FR4(Y)	4.999161e-02	6.492951e-02	2.520518e-02	-2.321247e-01	-1.355750e-01	9.631913e-01	m
FR4(Z)	4.999161e-02	6.492951e-02	2.520518e-02	-7.374008e-01	-6.212358e-01	-2.651529e-01	m
FR5(X)	6.606054e-02	4.394954e-02	4.520286e-03	-3.685869e-01	9.261788e-01	7.960198e-02	m
FR5(Y)	6.606054e-02	4.394954e-02	4.520286e-03	-8.289171e-02	-1.180360e-01	9.895436e-01	m
FR5(Z)	6.606054e-02	4.394954e-02	4.520286e-03	-9.258903e-01	-3.581341e-01	-1.202790e-01	m
FR6(X)	7.144024e-02	3.477368e-02	-2.642003e-02	2.763390e-01	-9.586449e-01	-6.809399e-02	m
FR6(Y)	7.144024e-02	3.477368e-02	-2.642003e-02	2.073030e-03	7.144740e-02	-9.974422e-01	m
FR6(Z)	7.144024e-02	3.477368e-02	-2.642003e-02	-9.610580e-01	-2.754910e-01	-2.173100e-02	m
FR7(X)	3.692219e-02	5.016649e-02	5.429253e-02	2.954679e-01	-9.002687e-01	3.197109e-01	m
FR7(Y)	3.692219e-02	5.016649e-02	5.429253e-02	8.214896e-01	6.858000e-02	-5.660845e-01	m
FR7(Z)	3.692219e-02	5.016649e-02	5.429253e-02	-4.877023e-01	-4.298992e-01	-7.598244e-01	m
FR8(X)	6.268056e-02	3.296611e-02	3.437822e-02	3.098849e-01	-9.507496e-01	6.816997e-03	m
FR8(Y)	6.268056e-02	3.296611e-02	3.437822e-02	4.010996e-01	1.242259e-01	-9.075721e-01	m
FR8(Z)	6.268056e-02	3.296611e-02	3.437822e-02	-8.620270e-01	-2.839770e-01	-4.198410e-01	m
PR1(X)	1.839226e-02	2.939385e-02	7.138128e-02	1.135640e-01	-9.621572e-01	2.477030e-01	m
PR1(Y)	1.839226e-02	2.939385e-02	7.138128e-02	9.583343e-01	4.030969e-02	-2.827904e-01	m
PR1(Z)	1.839226e-02	2.939385e-02	7.138128e-02	-2.621040e-01	-2.694970e-01	-9.266460e-01	m
PR2(X)	4.920652e-02	1.661960e-02	5.897144e-02	-1.923560e-01	9.767741e-01	-9.440101e-02	m
PR2(Y)	4.920652e-02	1.661960e-02	5.897144e-02	-7.545418e-01	-8.571119e-02	6.506306e-01	m
PR2(Z)	4.920652e-02	1.661960e-02	5.897144e-02	-6.274280e-01	-1.963820e-01	-7.535040e-01	m
PR3(X)	7.075311e-02	3.217077e-04	3.291863e-02	1.303920e-01	-9.882928e-01	-7.921698e-02	m
PR3(Y)	7.075311e-02	3.217077e-04	3.291863e-02	3.936296e-01	1.249348e-01	-9.107398e-01	m
PR3(Z)	7.075311e-02	3.217077e-04	3.291863e-02	-9.099745e-01	-8.757096e-02	-4.053118e-01	m
PR4(X)	2.880433e-02	-5.339436e-03	7.430225e-02	7.109900e-02	-9.946530e-01	7.490200e-02	m
PR4(Y)	2.880433e-02	-5.339436e-03	7.430225e-02	9.396475e-01	4.159320e-02	-3.396064e-01	m
PR4(Z)	2.880433e-02	-5.339436e-03	7.430225e-02	-3.346752e-01	-9.452705e-02	-9.375805e-01	m
PR5(X)	5.574306e-02	-1.725840e-02	5.752917e-02	-6.412697e-02	9.940835e-01	8.766796e-02	m
PR5(Y)	5.574306e-02	-1.725840e-02	5.752917e-02	-6.801669e-01	-1.078216e-01	7.250845e-01	m
PR5(Z)	5.574306e-02	-1.725840e-02	5.752917e-02	-7.302470e-01	1.313100e-02	-6.830570e-01	m
PR6(X)	7.027958e-02	-3.325598e-02	2.782936e-02	-1.429200e-01	-9.703332e-01	-1.950060e-01	m
PR6(Y)	7.027958e-02	-3.325598e-02	2.782936e-02	3.344598e-01	1.380877e-01	-9.322384e-01	m
PR6(Z)	7.027958e-02	-3.325598e-02	2.782936e-02	-9.315099e-01	1.984570e-01	-3.048020e-01	m
PR7(X)	3.073181e-02	-4.063789e-02	7.141445e-02	-4.818900e-02	-9.692200e-01	-2.414340e-01	m
PR7(Y)	3.073181e-02	-4.063789e-02	7.141445e-02	9.436684e-01	3.504365e-02	-3.290317e-01	m
PR7(Z)	3.073181e-02	-4.063789e-02	7.141445e-02	-3.273649e-01	2.436889e-01	-9.129337e-01	m
PR8(X)	5.414533e-02	-4.876993e-02	5.027556e-02	2.428610e-01	9.058689e-01	3.470160e-01	m
PR8(Y)	5.414533e-02	-4.876993e-02	5.027556e-02	-6.362903e-01	-1.212619e-01	7.618597e-01	m
PR8(Z)	5.414533e-02	-4.876993e-02	5.027556e-02	-7.322248e-01	4.058289e-01	-5.469458e-01	m
OR1(X)	2.962520e-02	-6.943377e-02	5.187580e-02	-2.725530e-01	-6.676180e-01	-6.928210e-01	m
OR1(Y)	2.962520e-02	-6.943377e-02	5.187580e-02	9.128411e-01	4.811272e-02	-4.054705e-01	m
OR1(Z)	2.962520e-02	-6.943377e-02	5.187580e-02	-3.040329e-01	7.429478e-01	-5.963158e-01	m
OR2(X)	5.639009e-02	-6.510849e-02	2.401838e-02	5.088982e-01	7.856983e-01	3.517111e-01	m
OR2(Y)	5.639009e-02	-6.510849e-02	2.401838e-02	-4.158446e-01	-1.333572e-01	8.996050e-01	m
OR2(Z)	5.639009e-02	-6.510849e-02	2.401838e-02	-7.537210e-01	6.040650e-01	-2.588630e-01	m
OR3(X)	3.051331e-02	-8.410268e-02	2.315412e-02	-5.250341e-01	-4.581831e-01	-7.172221e-01	m
OR3(Y)	3.051331e-02	-8.410268e-02	2.315412e-02	7.809921e-01	7.551663e-02	-6.199585e-01	m
OR3(Z)	3.051331e-02	-8.410268e-02	2.315412e-02	-3.382170e-01	8.856439e-01	-3.181890e-01	m
OR4(X)	4.951395e-02	-7.789283e-02	-7.268133e-03	7.284418e-01	6.663398e-01	1.592600e-01	m
OR4(Y)	4.951395e-02	-7.789283e-02	-7.268133e-03	-1.008192e-01	-1.256694e-01	9.869360e-01	m
OR4(Z)	4.951395e-02	-7.789283e-02	-7.268133e-03	-6.776489e-01	7.349819e-01	2.436300e-02	m
OR5(X)	5.923722e-02	-6.199293e-02	-3.619469e-02	-5.316178e-01	-8.465257e-01	-2.787199e-02	m
OR5(Y)	5.923722e-02	-6.199293e-02	-3.619469e-02	-6.602104e-02	7.422349e-02	-9.950538e-01	m
OR5(Z)	5.923722e-02	-6.199293e-02	-3.619469e-02	-8.444073e-01	5.271482e-01	9.534704e-02	m
OR6(X)	1.923632e-02	-9.275558e-02	-7.902221e-03	8.881492e-01	1.740830e-01	4.253071e-01	m
OR6(Y)	1.923632e-02	-9.275558e-02	-7.902221e-03	-4.117723e-01	-1.094611e-01	9.046888e-01	m
OR6(Z)	1.923632e-02	-9.275558e-02	-7.902221e-03	-2.040460e-01	9.786282e-01	2.553501e-02	m
OR7(X)	3.428249e-02	-8.437731e-02	-3.778083e-02	8.837432e-01	4.625521e-01	-7.101702e-02	m
OR7(Y)	3.428249e-02	-8.437731e-02	-3.778083e-02	1.185589e-01	-7.449594e-02	9.901485e-01	m
OR7(Z)	3.428249e-02	-8.437731e-02	-3.778083e-02	-4.527049e-01	8.834568e-01	1.206750e-01	m
TR1(X)	7.505969e-02	1.515931e-02	2.315304e-03	-2.075340e-01	9.715472e-01	1.141300e-01	m
TR1(Y)	7.505969e-02	1.515931e-02	2.315304e-03	-4.206578e-02	-1.254257e-01	9.912108e-01	m
TR1(Z)	7.505969e-02	1.515931e-02	2.315304e-03	-9.773229e-01	-2.009090e-01	-6.689900e-02	m
TR2(X)	7.783424e-02	1.607870e-04	-2.922074e-02	5.375101e-02	-9.958873e-01	-7.293402e-02	m
TR2(Y)	7.783424e-02	1.607870e-04	-2.922074e-02	-9.079906e-03	7.254913e-02	-9.973235e-01	m
TR2(Z)	7.783424e-02	1.607870e-04	-2.922074e-02	-9.985131e-01	-5.426901e-02	5.143001e-03	m
TR3(X)	7.736487e-02	-1.778939e-02	-4.954651e-04	8.275003e-02	9.878623e-01	1.314550e-01	m
TR3(Y)	7.736487e-02	-1.778939e-02	-4.954651e-04	-3.916346e-02	-1.285820e-01	9.909253e-01	m
TR3(Z)	7.736487e-02	-1.778939e-02	-4.954651e-04	-9.958005e-01	8.714696e-02	-2.804799e-02	m
TR4(X)	7.334476e-02	-3.299066e-02	-3.404350e-02	-3.141261e-01	-9.479823e-01	-5.152002e-02	m
TR4(Y)	7.334476e-02	-3.299066e-02	-3.404350e-02	-6.798106e-02	7.658770e-02	-9.947426e-01	m
TR4(Z)	7.334476e-02	-3.299066e-02	-3.404350e-02	-9.469443e-01	3.089721e-01	8.850303e-02	m
TR5(X)	6.888173e-02	-4.999244e-02	-5.037685e-03	-4.135391e-01	-9.011591e-01	-1.299910e-01	m
TR5(Y)	6.888173e-02	-4.999244e-02	-5.037685e-03	2.724123e-02	1.304609e-01	-9.910791e-01	m
TR5(Z)	6.888173e-02	-4.999244e-02	-5.037685e-03	-9.100788e-01	4.133909e-01	2.940199e-02	m
FC1(X)	1.669999e-07	9.145980e-02	1.653383e-02	-1.260000e-04	3.429879e-01	-9.393398e-01	m
FC1(Y)	1.669999e-07	9.145980e-02	1.653383e-02	-1.000000e+00	1.871831e-06	1.348202e-04	m
