Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FL1 X	-0.043233	0.10325	-0.016058	0.79716	0.56505	-0.21272	-0.14215	0.43728
FL1 Y	-0.043233	0.10325	-0.016058	-0.27735	0.029765	-0.96031	-0.14215	0.43728
FL1 Z	-0.043233	0.10325	-0.016058	0.53629	-0.82452	-0.18044	-0.14215	0.43728
FL2 X	-0.07085	0.075685	-0.026694	0.51086	0.85722	-0.064776	-0.27057	0.37572
FL2 Y	-0.07085	0.075685	-0.026694	-0.14142	0.0094758	-0.9899	-0.27057	0.37572
FL2 Z	-0.07085	0.075685	-0.026694	0.84795	-0.51487	-0.12607	-0.27057	0.37572
FL3 X	-0.026702	0.10139	0.022212	-0.59719	-0.52315	0.60801	-0.074266	0.36667
FL3 Y	-0.026702	0.10139	0.022212	0.73737	-0.05975	0.67284	-0.074266	0.36667
FL3 Z	-0.026702	0.10139	0.022212	0.31567	-0.85014	-0.42144	-0.074266	0.36667
FL4 X	-0.059887	0.080468	0.013915	-0.61362	-0.78518	0.083427	-0.18404	0.32429
FL4 Y	-0.059887	0.080468	0.013915	0.26206	-0.10284	0.95956	-0.18404	0.32429
FL4 Z	-0.059887	0.080468	0.013915	0.74485	-0.61067	-0.26887	-0.18404	0.32429
FL5 X	-0.080014	0.050898	0.0014681	-0.37776	-0.92411	-0.057708	-0.28602	0.24261
FL5 Y	-0.080014	0.050898	0.0014681	0.10044	-0.10286	0.98961	-0.28602	0.24261
FL5 Z	-0.080014	0.050898	0.0014681	0.92044	-0.36804	-0.13167	-0.28602	0.24261
FL6 X	-0.037923	0.074329	0.050516	0.41357	0.80717	-0.42124	-0.10021	0.2622
FL6 Y	-0.037923	0.074329	0.050516	-0.7811	0.076824	-0.61967	-0.10021	0.2622
FL6 Z	-0.037923	0.074329	0.050516	0.46781	-0.5853	-0.66225	-0.10021	0.2622
FL7 X	-0.067435	0.048403	0.039893	0.38658	0.91543	-0.11201	-0.19862	0.19378
FL7 Y	-0.067435	0.048403	0.039893	-0.50427	0.10812	-0.85675	-0.19862	0.19378
FL7 Z	-0.067435	0.048403	0.039893	0.77219	-0.38769	-0.50341	-0.19862	0.19378
PL1 X	-0.039064	0.040453	0.070164	0.23072	0.93584	-0.26641	-0.10174	0.1487
PL1 Y	-0.039064	0.040453	0.070164	-0.86204	0.069612	-0.50203	-0.10174	0.1487
PL1 Z	-0.039064	0.040453	0.070164	0.45128	-0.34548	-0.82279	-0.10174	0.1487
PL2 X	-0.068332	0.013058	0.05775	-0.25834	-0.96227	0.08537	-0.18878	0.060647
PL2 Y	-0.068332	0.013058	0.05775	0.64443	-0.10583	0.7573	-0.18878	0.060647
PL2 Z	-0.068332	0.013058	0.05775	0.7197	-0.25066	-0.64746	-0.18878	0.060647
PL3 X	-0.086455	0.01529	0.024065	0.24859	0.96461	0.087944	-0.28059	0.077784
