Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FL1 X	-0.03937	0.097015	-0.017355	0.81848	0.50606	-0.27202	-0.14123	0.41868
FL1 Y	-0.03937	0.097015	-0.017355	-0.32826	0.023314	-0.9443	-0.14123	0.41868
FL1 Z	-0.03937	0.097015	-0.017355	0.47154	-0.86218	-0.1852	-0.14123	0.41868
FL2 X	-0.067037	0.073573	-0.027227	0.57526	0.81215	-0.097426	-0.26999	0.36024
FL2 Y	-0.067037	0.073573	-0.027227	-0.17178	0.0034959	-0.98513	-0.26999	0.36024
FL2 Z	-0.067037	0.073573	-0.027227	0.79973	-0.58344	-0.14152	-0.26999	0.36024
FL3 X	-0.024129	0.094159	0.018672	-0.5347	-0.50354	0.67864	-0.074048	0.35103
FL3 Y	-0.024129	0.094159	0.018672	0.80016	-0.043433	0.59822	-0.074048	0.35103
FL3 Z	-0.024129	0.094159	0.018672	0.27175	-0.86288	-0.42613	-0.074048	0.35103
FL4 X	-0.055555	0.076958	0.012342	-0.65228	-0.74324	0.14874	-0.18244	0.31031
FL4 Y	-0.055555	0.076958	0.012342	0.31909	-0.091255	0.94332	-0.18244	0.31031
FL4 Z	-0.055555	0.076958	0.012342	0.68754	-0.66277	-0.29668	-0.18244	0.31031
FL5 X	-0.077239	0.049958	0.0011458	-0.43695	-0.89899	-0.029769	-0.28602	0.231
FL5 Y	-0.077239	0.049958	0.0011458	0.12959	-0.095669	0.98694	-0.28602	0.231
FL5 Z	-0.077239	0.049958	0.0011458	0.8901	-0.42738	-0.15831	-0.28602	0.231
FL6 X	-0.034372	0.069711	0.045279	0.37031	0.79622	-0.47843	-0.099885	0.25321
FL6 Y	-0.034372	0.069711	0.045279	-0.83157	0.05463	-0.55273	-0.099885	0.25321
FL6 Z	-0.034372	0.069711	0.045279	0.41396	-0.60253	-0.68235	-0.099885	0.25321
FL7 X	-0.063557	0.046432	0.037328	0.38117	0.90474	-0.19017	-0.19965	0.1858
FL7 Y	-0.063557	0.046432	0.037328	-0.58817	0.078614	-0.80491	-0.19965	0.1858
FL7 Z	-0.063557	0.046432	0.037328	0.71328	-0.41866	-0.5621	-0.19965	0.1858
PL1 X	-0.035638	0.03771	0.063707	-0.19508	-0.93462	0.29738	-0.10266	0.14382
PL1 Y	-0.035638	0.03771	0.063707	0.89515	-0.045751	0.44341	-0.10266	0.14382
PL1 Z	-0.035638	0.03771	0.063707	0.40081	-0.3527	-0.84555	-0.10266	0.14382
PL2 X	-0.064565	0.011738	0.054357	-0.22999	-0.96066	0.1557	-0.19086	0.055668
PL2 Y	-0.064565	0.011738	0.054357	0.72618	-0.06289	0.68462	-0.19086	0.055668
PL2 Z	-0.064565	0.011738	0.054357	0.6479	-0.27053	-0.71207	-0.19086	0.055668
PL3 X	-0.084516	0.014978	0.023757	0.28405	0.95808	0.037278	-0.28092	0.073415
PL3 Y	-0.084516	0.014978	0.023757	-0.29499	0.12432	-0.94738	-0.28092	0.073415
PL3 Z	-0.084516	0.014978	0.023757	0.9123	-0.25811	-0.31794	-0.28092	0.073415
PL4 X	-0.035788	0.0016999	0.075297	0.12321	0.97907	-0.16196	-0.096931	0.021679
PL4 Y	-0.035788	0.0016999	0.075297	-0.91532	0.049066	-0.39972	-0.096931	0.021679
PL4 Z	-0.035788	0.0016999	0.075297	0.38341	-0.1975	-0.90221	-0.096931	0.021679
PL5 X	-0.063797	-0.025096	0.061768	-0.014552	-0.99633	-0.084308	-0.17084	-0.059161
PL5 Y	-0.063797	-0.025096	0.061768	0.76738	-0.065183	0.63787	-0.17084	-0.059161
PL5 Z	-0.063797	-0.025096	0.061768	0.64103	0.055415	-0.76552	-0.17084	-0.059161
PL6 X	-0.086527	-0.024263	0.030504	-0.044876	0.98507	0.1662	-0.261	-0.065424
PL6 Y	-0.086527	-0.024263	0.030504	-0.35536	0.13975	-0.92423	-0.261	-0.065424
PL6 Z	-0.086527	-0.024263	0.030504	0.93365	0.10054	-0.34378	-0.261	-0.065424
PL7 X	-0.031897	-0.036026	0.078333	-0.01319	0.9905	0.13685	-0.079502	-0.085462
PL7 Y	-0.031897	-0.036026	0.078333	-0.94788	0.03119	-0.3171	-0.079502	-0.085462
PL7 Z	-0.031897	-0.036026	0.078333	0.31836	0.1339	-0.93846	-0.079502	-0.085462
PL8 X	-0.051099	-0.059629	0.060181	-0.23082	0.86694	0.44174	-0.12983	-0.15247
PL8 Y	-0.051099	-0.059629	0.060181	-0.81852	0.072457	-0.56989	-0.12983	-0.15247
