name	Px	Py	Pz	Ox	Oy	Oz	Units
FL1(X)	-3.936966e-02	9.701527e-02	-1.735550e-02	8.184757e-01	5.060648e-01	-2.720219e-01	m
FL1(Y)	-3.936966e-02	9.701527e-02	-1.735550e-02	-3.282556e-01	2.331440e-02	-9.443012e-01	m
FL1(Z)	-3.936966e-02	9.701527e-02	-1.735550e-02	4.715360e-01	-8.621800e-01	-1.852010e-01	m
FL2(X)	-6.703714e-02	7.357301e-02	-2.722655e-02	5.752611e-01	8.121471e-01	-9.742601e-02	m
FL2(Y)	-6.703714e-02	7.357301e-02	-2.722655e-02	-1.717766e-01	3.495866e-03	-9.851297e-01	m
FL2(Z)	-6.703714e-02	7.357301e-02	-2.722655e-02	7.997299e-01	-5.834419e-01	-1.415190e-01	m
FL3(X)	-2.412949e-02	9.415871e-02	1.867180e-02	-5.346982e-01	-5.035382e-01	6.786362e-01	m
FL3(Y)	-2.412949e-02	9.415871e-02	1.867180e-02	8.001560e-01	-4.343261e-02	5.982174e-01	m
FL3(Z)	-2.412949e-02	9.415871e-02	1.867180e-02	2.717500e-01	-8.628809e-01	-4.261320e-01	m
FL4(X)	-5.555549e-02	7.695848e-02	1.234159e-02	-6.522780e-01	-7.432430e-01	1.487390e-01	m
FL4(Y)	-5.555549e-02	7.695848e-02	1.234159e-02	3.190865e-01	-9.125455e-02	9.433220e-01	m
FL4(Z)	-5.555549e-02	7.695848e-02	1.234159e-02	6.875441e-01	-6.627691e-01	-2.966820e-01	m
FL5(X)	-7.723918e-02	4.995843e-02	1.145787e-03	-4.369472e-01	-8.989944e-01	-2.976901e-02	m
FL5(Y)	-7.723918e-02	4.995843e-02	1.145787e-03	1.295933e-01	-9.566879e-02	9.869413e-01	m
FL5(Z)	-7.723918e-02	4.995843e-02	1.145787e-03	8.901025e-01	-4.273837e-01	-1.583059e-01	m
FL6(X)	-3.437220e-02	6.971069e-02	4.527918e-02	3.703119e-01	7.962218e-01	-4.784349e-01	m
FL6(Y)	-3.437220e-02	6.971069e-02	4.527918e-02	-8.315710e-01	5.462998e-02	-5.527253e-01	m
FL6(Z)	-3.437220e-02	6.971069e-02	4.527918e-02	4.139551e-01	-6.025332e-01	-6.823452e-01	m
FL7(X)	-6.355686e-02	4.643190e-02	3.732795e-02	3.811700e-01	9.047351e-01	-1.901680e-01	m
FL7(Y)	-6.355686e-02	4.643190e-02	3.732795e-02	-5.881687e-01	7.861358e-02	-8.049084e-01	m
FL7(Z)	-6.355686e-02	4.643190e-02	3.732795e-02	7.132790e-01	-4.186580e-01	-5.621020e-01	m
PL1(X)	-3.563809e-02	3.770994e-02	6.370660e-02	-1.950750e-01	-9.346171e-01	2.973830e-01	m
PL1(Y)	-3.563809e-02	3.770994e-02	6.370660e-02	8.951510e-01	-4.575061e-02	4.434090e-01	m
