name	Px	Py	Pz	Ox	Oy	Oz	Units
FL1(X)	-4.323280e-02	1.032482e-01	-1.605840e-02	7.971640e-01	5.650480e-01	-2.127210e-01	m
FL1(Y)	-4.323280e-02	1.032482e-01	-1.605840e-02	-2.773530e-01	2.976454e-02	-9.603069e-01	m
FL1(Z)	-4.323280e-02	1.032482e-01	-1.605840e-02	5.362880e-01	-8.245210e-01	-1.804450e-01	m
FL2(X)	-7.085024e-02	7.568465e-02	-2.669371e-02	5.108638e-01	8.572177e-01	-6.477598e-02	m
FL2(Y)	-7.085024e-02	7.568465e-02	-2.669371e-02	-1.414170e-01	9.475769e-03	-9.899048e-01	m
FL2(Z)	-7.085024e-02	7.568465e-02	-2.669371e-02	8.479501e-01	-5.148670e-01	-1.260660e-01	m
FL3(X)	-2.670238e-02	1.013912e-01	2.221152e-02	-5.971909e-01	-5.231509e-01	6.080099e-01	m
FL3(Y)	-2.670238e-02	1.013912e-01	2.221152e-02	7.373713e-01	-5.974964e-02	6.728399e-01	m
FL3(Z)	-2.670238e-02	1.013912e-01	2.221152e-02	3.156689e-01	-8.501426e-01	-4.214388e-01	m
FL4(X)	-5.988730e-02	8.046785e-02	1.391499e-02	-6.136199e-01	-7.851819e-01	8.342699e-02	m
FL4(Y)	-5.988730e-02	8.046785e-02	1.391499e-02	2.620586e-01	-1.028443e-01	9.595563e-01	m
FL4(Z)	-5.988730e-02	8.046785e-02	1.391499e-02	7.448459e-01	-6.106660e-01	-2.688710e-01	m
FL5(X)	-8.001431e-02	5.089777e-02	1.468084e-03	-3.777560e-01	-9.241051e-01	-5.770800e-02	m
FL5(Y)	-8.001431e-02	5.089777e-02	1.468084e-03	1.004373e-01	-1.028556e-01	9.896126e-01	m
FL5(Z)	-8.001431e-02	5.089777e-02	1.468084e-03	9.204417e-01	-3.680359e-01	-1.316690e-01	m
FL6(X)	-3.792333e-02	7.432883e-02	5.051551e-02	4.135690e-01	8.071669e-01	-4.212390e-01	m
FL6(Y)	-3.792333e-02	7.432883e-02	5.051551e-02	-7.810964e-01	7.682375e-02	-6.196664e-01	m
FL6(Z)	-3.792333e-02	7.432883e-02	5.051551e-02	4.678131e-01	-5.853031e-01	-6.622471e-01	m
FL7(X)	-6.743540e-02	4.840329e-02	3.989279e-02	3.865830e-01	9.154270e-01	-1.120130e-01	m
FL7(Y)	-6.743540e-02	4.840329e-02	3.989279e-02	-5.042653e-01	1.081166e-01	-8.567539e-01	m
